,time,value
139,2021-05-06 01:09:00,61.06259
140,2021-05-06 02:00:00,77.64081
141,2021-05-06 02:01:00,83.04696
142,2021-05-06 02:02:00,91.660835
143,2021-05-06 02:03:00,98.59591
144,2021-05-07 00:00:00,97.87642
145,2021-05-07 00:01:00,98.07628
146,2021-05-07 00:02:00,97.246864
147,2021-05-07 00:03:00,94.50881
148,2021-05-07 00:04:00,92.53022
149,2021-05-07 00:05:00,89.00272
150,2021-05-07 00:06:00,80.72861
151,2021-05-07 00:07:00,64.300285
152,2021-05-07 00:08:00,48.091816
153,2021-05-07 00:09:00,54.177486
154,2021-05-07 01:00:00,59.733536
155,2021-05-07 01:01:00,60.54296
156,2021-05-07 01:02:00,75.52231
157,2021-05-07 01:03:00,74.463066
158,2021-05-07 01:04:00,63.79065
159,2021-05-07 01:05:00,62.16181
160,2021-05-07 01:06:00,62.721413
161,2021-05-07 01:07:00,63.78066
162,2021-05-07 01:08:00,47.39231
163,2021-05-07 01:09:00,54.067562
164,2021-05-07 02:00:00,76.93131
165,2021-05-07 02:01:00,81.88779
166,2021-05-07 02:02:00,87.30393
167,2021-05-07 02:03:00,95.82787
168,2021-05-08 00:00:00,100.18478
169,2021-05-08 00:01:00,101.48385
170,2021-05-08 00:02:00,99.12553
171,2021-05-08 00:03:00,96.667274
172,2021-05-08 00:04:00,94.03915
173,2021-05-08 00:05:00,92.84999
174,2021-05-08 00:06:00,89.25255
175,2021-05-08 00:07:00,88.15333
176,2021-05-08 00:08:00,83.07694
177,2021-05-08 00:09:00,77.570854
178,2021-05-08 01:00:00,74.283195
179,2021-05-08 01:01:00,67.0883
180,2021-05-08 01:02:00,61.832043
181,2021-05-08 01:03:00,66.738556
182,2021-05-08 01:04:00,68.46732
183,2021-05-08 01:05:00,57.56508
184,2021-05-08 01:06:00,59.843456
185,2021-05-08 01:07:00,58.16465
186,2021-05-08 01:08:00,57.80491
187,2021-05-08 01:09:00,87.14405
188,2021-05-08 02:00:00,79.87921
189,2021-05-08 02:01:00,80.54874
190,2021-05-08 02:02:00,86.87424
191,2021-05-08 02:03:00,96.867134
192,2021-05-09 00:00:00,99.805046
193,2021-05-09 00:01:00,101.94353
194,2021-05-09 00:02:00,102.9628
195,2021-05-09 00:03:00,100.53453
196,2021-05-09 00:04:00,98.85572
197,2021-05-09 00:05:00,103.08272
198,2021-05-09 00:06:00,102.03346
199,2021-05-09 00:07:00,99.54523
200,2021-05-09 00:08:00,94.39952
201,2021-05-09 00:09:00,91.26763
202,2021-05-09 01:00:00,87.002525
203,2021-05-09 01:01:00,83.10359
204,2021-05-09 01:02:00,80.54552
205,2021-05-09 01:03:00,85.30535
206,2021-05-09 01:04:00,84.096214
207,2021-05-09 01:05:00,80.41883
208,2021-05-09 01:06:00,74.76285
209,2021-05-09 01:07:00,78.250374
210,2021-05-09 01:08:00,84.715775
211,2021-05-09 01:09:00,85.1055
212,2021-05-09 02:00:00,81.87779
213,2021-05-09 02:01:00,84.98558
